DateTime,AntelopeValley
1/1/2008,172.2258065
2/1/2008,196.1071429
3/1/2008,166.7741935
4/1/2008,186.4666667
5/1/2008,168.1612903
6/1/2008,174.2
7/1/2008,161.2903226
8/1/2008,162.7096774
9/1/2008,172.7666667
10/1/2008,187.9354839
11/1/2008,154.1
12/1/2008,155.5806452
1/1/2009,186.3548387
2/1/2009,193.4285714
3/1/2009,194.2903226
4/1/2009,192.3666667
5/1/2009,172.8387097
6/1/2009,193.8333333
7/1/2009,181.7741935
8/1/2009,180
9/1/2009,195.6
10/1/2009,194.4516129
11/1/2009,177.7333333
12/1/2009,165.1290323
1/1/2010,186.0322581
2/1/2010,219.8928571
3/1/2010,222.1935484
4/1/2010,230.7
5/1/2010,201.5483871
6/1/2010,207.3
7/1/2010,186.9677419
8/1/2010,206.0967742
9/1/2010,204.9666667
10/1/2010,210.5806452
11/1/2010,195.1
12/1/2010,193.3870968
1/1/2011,213.9354839
2/1/2011,230.3214286
3/1/2011,219.2580645
4/1/2011,209.4333333
5/1/2011,203.0967742
6/1/2011,214.6666667
7/1/2011,193.2258065
8/1/2011,223.0645161
9/1/2011,222.8333333
10/1/2011,214.8387097
11/1/2011,212.7
12/1/2011,194.6129032
1/1/2012,229.2903226
2/1/2012,250.1785714
3/1/2012,236.8387097
4/1/2012,222.6666667
5/1/2012,223.2903226
6/1/2012,214.0666667
7/1/2012,213.0322581
8/1/2012,222.6451613
9/1/2012,206.7333333
10/1/2012,229.3870968
11/1/2012,208.2333333
12/1/2012,187.5483871
1/1/2013,239.0645161
2/1/2013,246.1071429
3/1/2013,213.516129
4/1/2013,229.1333333
5/1/2013,218.5806452
6/1/2013,190.7
7/1/2013,206.4516129
8/1/2013,214.6774194
9/1/2013,219.2
10/1/2013,245.8709677
11/1/2013,226.5
12/1/2013,209.0967742
1/1/2014,253.6774194
2/1/2014,246.9642857
3/1/2014,233.516129
4/1/2014,233.4666667
5/1/2014,236.3225806
6/1/2014,230.7333333
7/1/2014,225.516129
8/1/2014,234.1612903
9/1/2014,244.4666667
10/1/2014,255.1612903
11/1/2014,213.5
12/1/2014,230.516129
1/1/2015,257.0967742
2/1/2015,273.1785714
3/1/2015,258.5483871
4/1/2015,262.4666667
5/1/2015,242.7741935
6/1/2015,253.1333333
7/1/2015,243.2258065
8/1/2015,237.7741935
9/1/2015,242.9333333
10/1/2015,259.5806452
11/1/2015,235.9
12/1/2015,229.0645161
